architecture,category,task_id,passed,passed_at_1,passed_at,n_attempts,n_reflections,n_turns,involved_classes,n_llm_calls,n_tool_calls,input_tokens,output_tokens,total_tokens,peak_context,latency_s,max_steps_hits,error_type,error_message
baseline__run2,miss_func,multi_turn_miss_func_33,False,,,,,6,MessageAPI|GorillaFileSystem,12,6,49804,598,50402,4703,9.52,0,multi_turn:empty_turn_model_response,Model response list is empty for turn 4
baseline__run2,miss_func,multi_turn_miss_func_34,False,,,,,3,GorillaFileSystem|MathAPI,9,6,45796,695,46491,5673,9.62,0,multi_turn:instance_state_mismatch,Model instance for GorillaFileSystem does not match the state with ground truth instance.
baseline__run2,miss_func,multi_turn_miss_func_37,False,,,,,4,GorillaFileSystem,15,11,71277,9525,80802,12825,101.57,0,multi_turn:execution_response_mismatch,Model response execution results so far does not contain all the ground truth response execution results for turn 0.
baseline__run2,miss_func,multi_turn_miss_func_4,False,,,,,4,TwitterAPI|GorillaFileSystem,9,5,42131,629,42760,5303,8.69,0,multi_turn:instance_state_mismatch,Model instance for GorillaFileSystem does not match the state with ground truth instance.
baseline__run2,miss_func,multi_turn_miss_func_49,False,,,,,5,GorillaFileSystem|MathAPI,10,5,50393,980,51373,6022,13.0,0,multi_turn:instance_state_mismatch,Model instance for GorillaFileSystem does not match the state with ground truth instance.
baseline__run2,miss_func,multi_turn_miss_func_55,False,,,,,6,TicketAPI|VehicleControlAPI,11,5,51401,951,52352,5333,12.39,0,multi_turn:empty_turn_model_response,Model response list is empty for turn 1
baseline__run2,miss_func,multi_turn_miss_func_56,False,,,,,4,VehicleControlAPI,12,8,40624,817,41441,3897,11.56,0,multi_turn:execution_response_mismatch,Model response execution results so far does not contain all the ground truth response execution results for turn 1.
baseline__run2,miss_func,multi_turn_miss_func_57,False,,,,,3,VehicleControlAPI|MathAPI,3,0,14525,240,14765,5024,3.68,0,multi_turn:empty_turn_model_response,Model response list is empty for turn 1
baseline__run2,miss_func,multi_turn_miss_func_66,False,,,,,5,VehicleControlAPI,20,15,82387,1612,83999,5190,21.73,0,multi_turn:instance_state_mismatch,Model instance for VehicleControlAPI does not match the state with ground truth instance.
baseline__run2,miss_func,multi_turn_miss_func_68,False,,,,,6,TwitterAPI|VehicleControlAPI,13,7,66121,864,66985,5804,12.46,0,multi_turn:empty_turn_model_response,Model response list is empty for turn 2
baseline__run2,miss_func,multi_turn_miss_func_77,False,,,,,4,TwitterAPI|VehicleControlAPI,8,4,39034,665,39699,5317,9.42,0,multi_turn:execution_response_mismatch,Model response execution results so far does not contain all the ground truth response execution results for turn 1.
baseline__run2,miss_func,multi_turn_miss_func_82,False,,,,,4,VehicleControlAPI,15,11,55144,1036,56180,4395,17.3,0,multi_turn:irrelevance_error:decoder_success,Model outputs valid function calls when it should not for turn 1.
baseline__run2,miss_func,multi_turn_miss_func_90,False,,,,,5,TwitterAPI|VehicleControlAPI,19,14,100963,1481,102444,6490,20.26,0,multi_turn:empty_turn_model_response,Model response list is empty for turn 2
baseline__run2,miss_func,multi_turn_miss_func_91,False,,,,,3,MessageAPI|VehicleControlAPI,9,6,36799,534,37333,4495,8.39,0,multi_turn:irrelevance_error:decoder_success,Model outputs valid function calls when it should not for turn 0.
baseline__run2,miss_func,multi_turn_miss_func_92,False,,,,,6,VehicleControlAPI,18,12,64658,1242,65900,4578,19.65,0,multi_turn:empty_turn_model_response,Model response list is empty for turn 5
baseline__run2,miss_func,multi_turn_miss_func_94,False,,,,,4,VehicleControlAPI,18,14,66840,1182,68022,4531,17.09,0,multi_turn:empty_turn_model_response,Model response list is empty for turn 2
baseline__run2,miss_func,multi_turn_miss_func_97,False,,,,,7,MessageAPI|VehicleControlAPI,21,14,98665,1453,100118,5858,21.29,0,multi_turn:instance_state_mismatch,Model instance for MessageAPI does not match the state with ground truth instance.
baseline__run2,miss_func,multi_turn_miss_func_98,False,,,,,4,VehicleControlAPI|MathAPI,20,16,111654,1272,112926,6554,19.04,0,multi_turn:irrelevance_error:decoder_success,Model outputs valid function calls when it should not for turn 1.
baseline__run2,miss_param,multi_turn_miss_param_1,False,,,,,5,GorillaFileSystem,15,10,50669,688,51357,3914,4.26,0,multi_turn:irrelevance_error:decoder_success,Model outputs valid function calls when it should not for turn 3.
baseline__run2,miss_param,multi_turn_miss_param_103,True,,,,,6,MessageAPI|TradingBot,14,8,56969,1111,58080,4958,15.15,0,,
baseline__run2,miss_param,multi_turn_miss_param_111,True,,,,,5,MessageAPI|TradingBot,12,7,46406,644,47050,4466,10.0,0,,
baseline__run2,miss_param,multi_turn_miss_param_115,False,,,,,5,TradingBot,12,7,36038,720,36758,3529,12.93,0,multi_turn:empty_turn_model_response,Model response list is empty for turn 3
baseline__run2,miss_param,multi_turn_miss_param_117,False,,,,,7,TradingBot,7,0,19441,330,19771,2990,6.76,0,multi_turn:empty_turn_model_response,Model response list is empty for turn 1
baseline__run2,miss_param,multi_turn_miss_param_119,True,,,,,5,TradingBot|TicketAPI,11,6,45097,557,45654,4503,6.24,0,,
baseline__run2,miss_param,multi_turn_miss_param_120,True,,,,,5,TradingBot,11,6,32777,736,33513,3537,9.0,0,,
baseline__run2,miss_param,multi_turn_miss_param_122,False,,,,,6,TradingBot,12,6,37177,738,37915,3654,9.11,0,multi_turn:empty_turn_model_response,Model response list is empty for turn 2
baseline__run2,miss_param,multi_turn_miss_param_127,True,,,,,5,TradingBot,10,5,29836,822,30658,3557,10.75,0,,
baseline__run2,miss_param,multi_turn_miss_param_139,False,,,,,3,TwitterAPI|TradingBot,8,5,34965,309,35274,4579,2.96,0,multi_turn:irrelevance_error:decoder_success,Model outputs valid function calls when it should not for turn 1.
baseline__run2,miss_param,multi_turn_miss_param_140,False,,,,,5,TradingBot|TicketAPI,10,5,40512,566,41078,4529,8.49,0,multi_turn:instance_state_mismatch,Model instance for TicketAPI does not match the state with ground truth instance.
baseline__run2,miss_param,multi_turn_miss_param_144,False,,,,,4,TradingBot|MathAPI,9,5,43025,849,43874,5368,7.57,0,multi_turn:irrelevance_error:decoder_success,Model outputs valid function calls when it should not for turn 2.
baseline__run2,miss_param,multi_turn_miss_param_145,True,,,,,6,MessageAPI|TradingBot,14,8,56834,880,57714,4746,12.9,0,,
baseline__run2,miss_param,multi_turn_miss_param_152,False,,,,,4,TicketAPI|TravelAPI,8,4,37704,861,38565,5185,7.26,0,multi_turn:empty_turn_model_response,Model response list is empty for turn 2
baseline__run2,miss_param,multi_turn_miss_param_153,True,,,,,6,TravelAPI,12,6,44754,1088,45842,4489,12.09,0,,
baseline__run2,miss_param,multi_turn_miss_param_154,True,,,,,6,MessageAPI|TravelAPI,12,6,55028,1129,56157,5332,16.17,0,,
baseline__run2,miss_param,multi_turn_miss_param_161,True,,,,,4,MathAPI|TravelAPI,7,3,36432,529,36961,5584,7.78,0,,
baseline__run2,miss_param,multi_turn_miss_param_164,False,,,,,5,TravelAPI,9,4,31370,845,32215,4035,4.09,0,multi_turn:execution_response_mismatch,Model response execution results so far does not contain all the ground truth response execution results for turn 0.
baseline__run2,miss_param,multi_turn_miss_param_165,False,,,,,6,TicketAPI|TravelAPI,11,5,50330,912,51242,5174,4.6,0,multi_turn:instance_state_mismatch,Model instance for TravelAPI does not match the state with ground truth instance.
baseline__run2,miss_param,multi_turn_miss_param_169,False,,,,,3,MessageAPI|TravelAPI,8,5,34956,786,35742,4946,10.44,0,multi_turn:irrelevance_error:decoder_success,Model outputs valid function calls when it should not for turn 0.
baseline__run2,miss_param,multi_turn_miss_param_17,False,,,,,4,MessageAPI|GorillaFileSystem,11,7,46306,659,46965,4669,4.39,0,multi_turn:empty_turn_model_response,Model response list is empty for turn 3
baseline__run2,miss_param,multi_turn_miss_param_170,False,,,,,7,TwitterAPI|TravelAPI,14,7,73846,984,74830,6008,14.53,0,multi_turn:instance_state_mismatch,Model instance for TravelAPI does not match the state with ground truth instance.
baseline__run2,miss_param,multi_turn_miss_param_180,False,,,,,7,TicketAPI|TravelAPI,22,15,124634,2831,127465,7578,18.12,0,multi_turn:instance_state_mismatch,Model instance for TravelAPI does not match the state with ground truth instance.
baseline__run2,miss_param,multi_turn_miss_param_186,False,,,,,7,TwitterAPI|TravelAPI,16,9,89444,1322,90766,6456,6.44,0,multi_turn:irrelevance_error:decoder_success,Model outputs valid function calls when it should not for turn 5.
baseline__run2,miss_param,multi_turn_miss_param_190,False,,,,,6,TicketAPI|TravelAPI,11,5,52391,983,53374,5448,14.02,0,multi_turn:empty_turn_model_response,Model response list is empty for turn 1
baseline__run2,miss_param,multi_turn_miss_param_194,False,,,,,7,TravelAPI,20,13,89966,2432,92398,5978,24.05,0,multi_turn:instance_state_mismatch,Model instance for TravelAPI does not match the state with ground truth instance.
baseline__run2,miss_param,multi_turn_miss_param_197,False,,,,,4,MessageAPI|TravelAPI,15,11,74169,1747,75916,6095,22.52,0,multi_turn:instance_state_mismatch,Model instance for TravelAPI does not match the state with ground truth instance.
baseline__run2,miss_param,multi_turn_miss_param_2,False,,,,,6,TicketAPI|GorillaFileSystem,33,27,188003,2396,190399,7240,34.9,0,multi_turn:instance_state_mismatch,Model instance for GorillaFileSystem does not match the state with ground truth instance.
baseline__run2,miss_param,multi_turn_miss_param_20,False,,,,,3,TwitterAPI|GorillaFileSystem,9,6,43511,566,44077,5205,8.91,0,multi_turn:empty_turn_model_response,Model response list is empty for turn 1
baseline__run2,miss_param,multi_turn_miss_param_22,True,,,,,5,TwitterAPI|GorillaFileSystem,15,10,75850,858,76708,5770,12.38,0,,
baseline__run2,miss_param,multi_turn_miss_param_3,False,,,,,3,GorillaFileSystem,46,44,242589,3902,246491,7764,52.3,1,multi_turn:instance_state_mismatch,Model instance for GorillaFileSystem does not match the state with ground truth instance.
baseline__run2,miss_param,multi_turn_miss_param_32,False,,,,,3,GorillaFileSystem|MathAPI,7,4,35070,427,35497,5258,6.54,0,multi_turn:instance_state_mismatch,Model instance for GorillaFileSystem does not match the state with ground truth instance.
baseline__run2,miss_param,multi_turn_miss_param_33,False,,,,,6,MessageAPI|GorillaFileSystem,12,6,50676,561,51237,4658,11.36,0,multi_turn:empty_turn_model_response,Model response list is empty for turn 4
baseline__run2,miss_param,multi_turn_miss_param_34,False,,,,,3,GorillaFileSystem|MathAPI,8,5,41261,531,41792,5476,7.47,0,multi_turn:instance_state_mismatch,Model instance for GorillaFileSystem does not match the state with ground truth instance.
baseline__run2,miss_param,multi_turn_miss_param_37,False,,,,,4,GorillaFileSystem,13,9,45758,1167,46925,4373,15.47,0,multi_turn:empty_turn_model_response,Model response list is empty for turn 2
baseline__run2,miss_param,multi_turn_miss_param_4,False,,,,,4,TwitterAPI|GorillaFileSystem,10,6,48996,681,49677,5358,18.4,0,multi_turn:instance_state_mismatch,Model instance for TwitterAPI does not match the state with ground truth instance.
baseline__run2,miss_param,multi_turn_miss_param_49,False,,,,,5,GorillaFileSystem|MathAPI,11,6,58829,783,59612,5892,10.96,0,multi_turn:execution_response_mismatch,Model response execution results so far does not contain all the ground truth response execution results for turn 4.
baseline__run2,miss_param,multi_turn_miss_param_55,True,,,,,6,TicketAPI|VehicleControlAPI,17,11,83124,1285,84409,5866,26.51,0,,
baseline__run2,miss_param,multi_turn_miss_param_56,True,,,,,4,VehicleControlAPI,14,10,48065,848,48913,3995,12.18,0,,
baseline__run2,miss_param,multi_turn_miss_param_57,True,,,,,3,VehicleControlAPI|MathAPI,7,4,34819,373,35192,5233,5.93,0,,
baseline__run2,miss_param,multi_turn_miss_param_66,False,,,,,5,VehicleControlAPI,13,8,45263,687,45950,4005,10.13,0,multi_turn:instance_state_mismatch,Model instance for VehicleControlAPI does not match the state with ground truth instance.
baseline__run2,miss_param,multi_turn_miss_param_68,False,,,,,6,TwitterAPI|VehicleControlAPI,20,14,106419,1126,107545,6279,16.58,0,multi_turn:instance_state_mismatch,Model instance for TwitterAPI does not match the state with ground truth instance.
baseline__run2,miss_param,multi_turn_miss_param_77,True,,,,,4,TwitterAPI|VehicleControlAPI,10,6,48330,566,48896,5265,8.29,0,,
baseline__run2,miss_param,multi_turn_miss_param_82,True,,,,,4,VehicleControlAPI,15,11,54521,915,55436,4245,13.19,0,,
baseline__run2,miss_param,multi_turn_miss_param_90,False,,,,,5,TwitterAPI|VehicleControlAPI,19,14,101451,1266,102717,6279,18.02,0,multi_turn:instance_state_mismatch,Model instance for TwitterAPI does not match the state with ground truth instance.
baseline__run2,miss_param,multi_turn_miss_param_91,False,,,,,3,MessageAPI|VehicleControlAPI,10,7,40866,427,41293,4434,7.36,0,multi_turn:empty_turn_model_response,Model response list is empty for turn 1
baseline__run2,miss_param,multi_turn_miss_param_92,False,,,,,6,VehicleControlAPI,13,7,43260,653,43913,3798,9.72,0,multi_turn:instance_state_mismatch,Model instance for VehicleControlAPI does not match the state with ground truth instance.
baseline__run2,miss_param,multi_turn_miss_param_94,False,,,,,4,VehicleControlAPI,15,11,52925,757,53682,4086,11.77,0,multi_turn:instance_state_mismatch,Model instance for VehicleControlAPI does not match the state with ground truth instance.
baseline__run2,miss_param,multi_turn_miss_param_97,False,,,,,7,MessageAPI|VehicleControlAPI,21,14,97316,1154,98470,5550,17.09,0,multi_turn:instance_state_mismatch,Model instance for MessageAPI does not match the state with ground truth instance.
baseline__run2,miss_param,multi_turn_miss_param_98,True,,,,,4,VehicleControlAPI|MathAPI,13,9,68633,778,69411,5775,11.15,0,,
blind_retry,base,multi_turn_base_1,True,True,1,1,0,4,GorillaFileSystem,13,9,42562,539,43101,3685,7.63,0,,
blind_retry,base,multi_turn_base_103,True,True,1,1,0,5,MessageAPI|TradingBot,13,8,51867,941,52808,4739,11.27,0,,
blind_retry,base,multi_turn_base_111,True,True,1,1,0,4,MessageAPI|TradingBot,11,7,43068,724,43792,4529,8.82,0,,
blind_retry,base,multi_turn_base_115,True,True,1,1,0,4,TradingBot,11,7,32460,627,33087,3420,8.05,0,,
blind_retry,base,multi_turn_base_117,True,False,3,3,0,6,TradingBot,41,23,132891,2772,135663,4188,34.28,0,,
blind_retry,base,multi_turn_base_119,True,True,1,1,0,4,TradingBot|TicketAPI,9,5,36192,433,36625,4341,5.81,0,,
blind_retry,base,multi_turn_base_120,True,True,1,1,0,4,TradingBot,10,6,29444,649,30093,3439,7.66,0,,
blind_retry,base,multi_turn_base_122,True,True,1,1,0,5,TradingBot,11,6,33488,645,34133,3548,7.8,0,,
blind_retry,base,multi_turn_base_127,True,True,1,1,0,4,TradingBot,9,5,26431,742,27173,3448,8.76,0,,
blind_retry,base,multi_turn_base_139,True,True,1,1,0,2,TwitterAPI|TradingBot,6,4,25898,259,26157,4484,3.49,0,,
blind_retry,base,multi_turn_base_140,True,True,1,1,0,4,TradingBot|TicketAPI,9,5,36699,577,37276,4535,7.28,0,,
blind_retry,base,multi_turn_base_144,True,True,1,1,0,3,TradingBot|MathAPI,7,4,32559,569,33128,5026,6.68,0,,
blind_retry,base,multi_turn_base_145,True,True,1,1,0,5,MessageAPI|TradingBot,12,7,48345,803,49148,4639,10.22,0,,
blind_retry,base,multi_turn_base_152,False,False,,3,0,3,TicketAPI|TravelAPI,27,18,128785,2380,131165,5364,27.07,0,multi_turn:instance_state_mismatch,Model instance for TravelAPI does not match the state with ground truth instance.
blind_retry,base,multi_turn_base_153,True,True,1,1,0,5,TravelAPI,11,6,40434,992,41426,4379,11.5,0,,
blind_retry,base,multi_turn_base_154,False,False,,3,0,5,MessageAPI|TravelAPI,33,18,152171,2827,154998,5317,32.44,0,multi_turn:instance_state_mismatch,Model instance for TravelAPI does not match the state with ground truth instance.
blind_retry,base,multi_turn_base_161,True,True,1,1,0,3,MathAPI|TravelAPI,6,3,31322,483,31805,5535,5.9,0,,
blind_retry,base,multi_turn_base_164,True,False,2,2,0,4,TravelAPI,19,11,68331,1755,70086,4366,19.9,0,,
blind_retry,base,multi_turn_base_165,True,False,2,2,0,5,TicketAPI|TravelAPI,23,13,108685,1779,110464,5738,20.65,0,,
blind_retry,base,multi_turn_base_169,True,True,1,1,0,2,MessageAPI|TravelAPI,7,5,31287,890,32177,5020,10.26,0,,
blind_retry,base,multi_turn_base_17,True,True,1,1,0,3,MessageAPI|GorillaFileSystem,12,9,51082,711,51793,4754,9.08,0,,
blind_retry,base,multi_turn_base_170,False,False,,3,0,6,TwitterAPI|TravelAPI,35,17,188572,2775,191347,6240,32.98,0,multi_turn:instance_state_mismatch,Model instance for TravelAPI does not match the state with ground truth instance.
blind_retry,base,multi_turn_base_180,False,False,,3,0,6,TicketAPI|TravelAPI,63,45,362322,7827,370149,8016,86.19,0,multi_turn:instance_state_mismatch,Model instance for TravelAPI does not match the state with ground truth instance.
blind_retry,base,multi_turn_base_186,True,True,1,1,0,6,TwitterAPI|TravelAPI,14,8,76610,1181,77791,6288,14.05,0,,
blind_retry,base,multi_turn_base_190,True,False,2,2,0,5,TicketAPI|TravelAPI,23,13,115043,2581,117624,6087,29.39,0,,
blind_retry,base,multi_turn_base_194,True,True,1,1,0,6,TravelAPI,13,7,50982,1371,52353,4785,15.96,0,,
blind_retry,base,multi_turn_base_197,False,False,,3,0,3,MessageAPI|TravelAPI,41,32,204734,4891,209625,6243,54.44,0,multi_turn:instance_state_mismatch,Model instance for TravelAPI does not match the state with ground truth instance.
blind_retry,base,multi_turn_base_2,True,True,1,1,0,5,TicketAPI|GorillaFileSystem,21,16,101590,1160,102750,5714,14.89,0,,
blind_retry,base,multi_turn_base_20,True,True,1,1,0,2,TwitterAPI|GorillaFileSystem,8,6,38187,477,38664,5080,6.1,0,,
blind_retry,base,multi_turn_base_22,True,True,1,1,0,4,TwitterAPI|GorillaFileSystem,11,7,54466,658,55124,5491,8.65,0,,
blind_retry,base,multi_turn_base_3,True,True,1,1,0,2,GorillaFileSystem,8,6,26120,514,26634,3566,6.16,0,,
blind_retry,base,multi_turn_base_32,False,False,,3,0,2,GorillaFileSystem|MathAPI,18,12,92337,1126,93463,5478,14.42,0,multi_turn:execution_response_mismatch,Model response execution results so far does not contain all the ground truth response execution results for turn 1.
blind_retry,base,multi_turn_base_33,True,True,1,1,0,5,MessageAPI|GorillaFileSystem,13,8,55226,566,55792,4718,7.52,0,,
blind_retry,base,multi_turn_base_34,False,False,,3,0,2,GorillaFileSystem|MathAPI,18,12,93359,1189,94548,5524,14.79,0,multi_turn:execution_response_mismatch,Model response execution results so far does not contain all the ground truth response execution results for turn 1.
blind_retry,base,multi_turn_base_37,False,False,,3,0,3,GorillaFileSystem,26,17,90645,2797,93442,4462,31.18,0,multi_turn:execution_response_mismatch,Model response execution results so far does not contain all the ground truth response execution results for turn 0.
blind_retry,base,multi_turn_base_4,False,False,,3,0,3,TwitterAPI|GorillaFileSystem,28,19,138825,1861,140686,5469,23.26,0,multi_turn:instance_state_mismatch,Model instance for TwitterAPI does not match the state with ground truth instance.
blind_retry,base,multi_turn_base_49,False,False,,3,0,4,GorillaFileSystem|MathAPI,31,19,168799,2323,171122,6114,31.09,0,multi_turn:execution_response_mismatch,Model response execution results so far does not contain all the ground truth response execution results for turn 3.
blind_retry,base,multi_turn_base_55,True,True,1,1,0,5,TicketAPI|VehicleControlAPI,16,11,76051,1076,77127,5649,13.22,0,,
blind_retry,base,multi_turn_base_56,True,True,1,1,0,3,VehicleControlAPI,13,10,43530,669,44199,3814,8.77,0,,
blind_retry,base,multi_turn_base_57,True,True,1,1,0,2,VehicleControlAPI|MathAPI,6,4,29874,425,30299,5245,5.3,0,,
blind_retry,base,multi_turn_base_66,False,False,,3,0,4,VehicleControlAPI,46,34,172872,2726,175598,4615,34.25,0,multi_turn:instance_state_mismatch,Model instance for VehicleControlAPI does not match the state with ground truth instance.
blind_retry,base,multi_turn_base_68,True,True,1,1,0,5,TwitterAPI|VehicleControlAPI,18,13,93911,952,94863,6058,12.24,0,,
blind_retry,base,multi_turn_base_77,True,True,1,1,0,3,TwitterAPI|VehicleControlAPI,9,6,43285,546,43831,5193,6.72,0,,
blind_retry,base,multi_turn_base_82,True,True,1,1,0,3,VehicleControlAPI,14,11,50275,829,51104,4123,10.28,0,,
blind_retry,base,multi_turn_base_90,True,True,1,1,0,4,TwitterAPI|VehicleControlAPI,17,13,89413,1135,90548,6091,14.42,0,,
blind_retry,base,multi_turn_base_91,True,True,1,1,0,2,MessageAPI|VehicleControlAPI,7,5,28058,340,28398,4261,4.4,0,,
blind_retry,base,multi_turn_base_92,False,False,,3,0,5,VehicleControlAPI,49,34,180300,2969,183269,4457,37.4,0,multi_turn:instance_state_mismatch,Model instance for VehicleControlAPI does not match the state with ground truth instance.
blind_retry,base,multi_turn_base_94,True,False,2,2,0,3,VehicleControlAPI,32,26,117942,1787,119729,4453,23.61,0,,
blind_retry,base,multi_turn_base_97,True,True,1,1,0,6,MessageAPI|VehicleControlAPI,20,14,92040,1109,93149,5502,14.81,0,,
blind_retry,base,multi_turn_base_98,True,True,1,1,0,3,VehicleControlAPI|MathAPI,12,9,62801,633,63434,5651,8.14,0,,
blind_retry,long_context,multi_turn_long_context_1,True,True,1,1,0,4,GorillaFileSystem,13,9,42961,577,43538,3732,9.49,0,,
blind_retry,long_context,multi_turn_long_context_103,True,False,3,3,0,5,MessageAPI|TradingBot,36,21,892369,13950,906319,45984,140.93,0,,
blind_retry,long_context,multi_turn_long_context_111,True,True,1,1,0,4,MessageAPI|TradingBot,11,7,53650,1018,54668,6336,13.48,0,,
blind_retry,long_context,multi_turn_long_context_115,True,True,1,1,0,4,TradingBot,11,7,224868,1188,226056,36795,16.58,0,,
blind_retry,long_context,multi_turn_long_context_117,True,True,1,1,0,6,TradingBot,14,8,464292,6721,471013,84708,76.4,0,,
blind_retry,long_context,multi_turn_long_context_119,True,True,1,1,0,4,TradingBot|TicketAPI,9,5,289296,3351,292647,42827,38.69,0,,
blind_retry,long_context,multi_turn_long_context_120,True,True,1,1,0,4,TradingBot,10,6,223805,745,224550,36662,11.45,0,,
blind_retry,long_context,multi_turn_long_context_122,True,True,1,1,0,5,TradingBot,11,6,43029,1138,44167,5556,14.01,0,,
blind_retry,long_context,multi_turn_long_context_127,True,True,1,1,0,4,TradingBot,9,5,186559,1282,187841,40576,16.58,0,,
blind_retry,long_context,multi_turn_long_context_139,True,True,1,1,0,2,TwitterAPI|TradingBot,6,4,29851,302,30153,8437,4.81,0,,
blind_retry,long_context,multi_turn_long_context_140,False,False,,3,0,4,TradingBot|TicketAPI,32,20,148579,2040,150619,6531,27.14,0,multi_turn:instance_state_mismatch,Model instance for TicketAPI does not match the state with ground truth instance.
blind_retry,long_context,multi_turn_long_context_144,False,False,,3,0,3,TradingBot|MathAPI,18,9,274191,25573,299764,36711,241.9,0,multi_turn:empty_turn_model_response,Model response list is empty for turn 2
blind_retry,long_context,multi_turn_long_context_145,True,True,1,1,0,5,MessageAPI|TradingBot,13,8,412173,1337,413510,38292,19.92,0,,
blind_retry,long_context,multi_turn_long_context_152,False,False,,3,0,3,TicketAPI|TravelAPI,19,10,123865,2541,126406,8006,29.22,0,multi_turn:empty_turn_model_response,Model response list is empty for turn 1
blind_retry,long_context,multi_turn_long_context_153,True,True,1,1,0,5,TravelAPI,11,6,53988,1230,55218,7272,15.55,0,,
blind_retry,long_context,multi_turn_long_context_154,False,False,,3,0,5,MessageAPI|TravelAPI,34,19,202259,3435,205694,9364,40.65,0,multi_turn:execution_response_mismatch,Model response execution results so far does not contain all the ground truth response execution results for turn 1.
blind_retry,long_context,multi_turn_long_context_161,True,True,1,1,0,3,MathAPI|TravelAPI,6,3,31318,478,31796,5534,7.06,0,,
blind_retry,long_context,multi_turn_long_context_164,True,False,2,2,0,4,TravelAPI,22,14,101472,2345,103817,7299,28.44,0,,
blind_retry,long_context,multi_turn_long_context_165,True,True,1,1,0,5,TicketAPI|TravelAPI,13,8,76271,1089,77360,8092,14.98,0,,
blind_retry,long_context,multi_turn_long_context_169,True,True,1,1,0,2,MessageAPI|TravelAPI,7,5,42835,865,43700,7616,10.81,0,,
blind_retry,long_context,multi_turn_long_context_17,True,True,1,1,0,3,MessageAPI|GorillaFileSystem,12,9,57534,1308,58842,5945,16.88,0,,
blind_retry,long_context,multi_turn_long_context_170,False,False,,3,0,6,TwitterAPI|TravelAPI,33,15,206977,2899,209876,7363,35.64,0,multi_turn:instance_state_mismatch,Model instance for TravelAPI does not match the state with ground truth instance.
blind_retry,long_context,multi_turn_long_context_180,False,False,,3,0,6,TicketAPI|TravelAPI,47,29,381775,5784,387559,11838,64.79,0,multi_turn:instance_state_mismatch,Model instance for TicketAPI does not match the state with ground truth instance.
blind_retry,long_context,multi_turn_long_context_186,True,True,1,1,0,6,TwitterAPI|TravelAPI,14,8,108941,1536,110477,9359,20.37,0,,
blind_retry,long_context,multi_turn_long_context_190,True,True,1,1,0,5,TicketAPI|TravelAPI,12,7,86341,1346,87687,8716,17.5,0,,
blind_retry,long_context,multi_turn_long_context_194,True,True,1,1,0,6,TravelAPI,15,9,93346,1763,95109,7864,21.9,0,,
blind_retry,long_context,multi_turn_long_context_197,False,False,,3,0,3,MessageAPI|TravelAPI,37,28,182292,4485,186777,6202,49.91,0,multi_turn:instance_state_mismatch,Model instance for TravelAPI does not match the state with ground truth instance.
blind_retry,long_context,multi_turn_long_context_2,True,True,1,1,0,5,TicketAPI|GorillaFileSystem,24,19,135737,1696,137433,7687,24.63,0,,
blind_retry,long_context,multi_turn_long_context_20,True,False,2,2,0,2,TwitterAPI|GorillaFileSystem,16,12,87862,1956,89818,7052,23.42,0,,
blind_retry,long_context,multi_turn_long_context_22,True,True,1,1,0,4,TwitterAPI|GorillaFileSystem,15,11,95238,1446,96684,8171,20.05,0,,
blind_retry,long_context,multi_turn_long_context_3,True,False,2,2,0,2,GorillaFileSystem,11,7,35996,713,36709,3654,9.47,0,,
blind_retry,long_context,multi_turn_long_context_32,False,False,,3,0,2,GorillaFileSystem|MathAPI,18,12,104881,2323,107204,6596,26.52,0,multi_turn:instance_state_mismatch,Model instance for GorillaFileSystem does not match the state with ground truth instance.
blind_retry,long_context,multi_turn_long_context_33,True,True,1,1,0,5,MessageAPI|GorillaFileSystem,11,6,62228,583,62811,6609,9.61,0,,
blind_retry,long_context,multi_turn_long_context_34,False,False,,3,0,2,GorillaFileSystem|MathAPI,18,12,93075,1218,94293,5484,15.82,0,multi_turn:instance_state_mismatch,Model instance for GorillaFileSystem does not match the state with ground truth instance.
blind_retry,long_context,multi_turn_long_context_37,False,False,,3,0,3,GorillaFileSystem,27,18,121236,2526,123762,6213,29.92,0,multi_turn:execution_response_mismatch,Model response execution results so far does not contain all the ground truth response execution results for turn 0.
blind_retry,long_context,multi_turn_long_context_4,False,False,,3,0,3,TwitterAPI|GorillaFileSystem,29,20,171228,2139,173367,7088,27.44,0,multi_turn:instance_state_mismatch,Model instance for TwitterAPI does not match the state with ground truth instance.
blind_retry,long_context,multi_turn_long_context_49,False,False,,3,0,4,GorillaFileSystem|MathAPI,36,24,245637,2749,248386,8149,34.8,0,multi_turn:instance_state_mismatch,Model instance for GorillaFileSystem does not match the state with ground truth instance.
blind_retry,long_context,multi_turn_long_context_55,True,True,1,1,0,5,TicketAPI|VehicleControlAPI,16,11,117049,1037,118086,9356,15.43,0,,
blind_retry,long_context,multi_turn_long_context_56,True,True,1,1,0,3,VehicleControlAPI,13,10,98004,757,98761,9660,11.65,0,,
blind_retry,long_context,multi_turn_long_context_57,True,True,1,1,0,2,VehicleControlAPI|MathAPI,6,4,41515,421,41936,9125,6.04,0,,
blind_retry,long_context,multi_turn_long_context_66,False,False,,3,0,4,VehicleControlAPI,44,32,258815,2641,261456,10345,37.44,0,multi_turn:instance_state_mismatch,Model instance for VehicleControlAPI does not match the state with ground truth instance.
blind_retry,long_context,multi_turn_long_context_68,True,True,1,1,0,5,TwitterAPI|VehicleControlAPI,18,13,164925,969,165894,11687,15.24,0,,
